store_id,model,is_displayed
52004937,ETG7287GKR,1
52004937,ETG7257GKR,1
52004937,EHG7202BF,1
52004937,EHG7303BF,1
52004936,ETG7287GKR,1
52004936,ETG7257GKR,1
52004936,EHG7202BF,1
52004936,EHG7303BF,1
52004935,ETG7287GKR,1
52004935,ETG7257GKR,1
52004935,EHG7202BF,1
52004935,EHG7303BF,1
