store_id,store_code,store_name,channel,hc,region,province,mcp,isActive,createdAt,createdBy,updatedBy
52005693,3564,DMM_HDU_BGI - 15 Hung Vuong (Ke Sat),DMX,0,North,Hai Duong,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52006051,3910,DMM_HBI_KBO - Thong Nhat (TT Bo),DMX,0,North,Hoa Binh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52006023,3946,DML_QNI_CPH - Cam Binh,DMX,0,North,Quang Ninh,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52006021,3956,DML_QBI_DHO - 22 Quang Trung,DMX,0,Central,Quang Binh,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52006351,4196,DMM_HCM_BCH - D10/292C Phong Phu,DMX,0,South,Ho Chi Minh,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
70243454,80,DMS_THO_THO - 198 Quoc Lo 45 (Van Ha),DMX,0,North,Thanh Hoa,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004081,94,DMM_BNI_TTH - Tri Qua (Nga 4 Cho Dau),DMX,0,North,Bac Ninh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004080,122,DMM_BNI_LTA - Thi Tran Thua,DMX,0,North,Bac Ninh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004822,124,DML_DON_BHO - 5/10 Dong Khoi,DMX,0,South,Dong Nai,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52003573,125,DMM_HCM_BTA - 1826A Tinh Lo 10,DMX,0,South,Ho Chi Minh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004969,141,DML_HNO_BTL - 37 Cau Dien,DMX,0,North,Ha Noi,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52003405,221,DMM_HNO_BDI - 146 Kim Ma,DMX,0,North,Ha Noi,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004186,324,DMM_HCM_Q12 - 787 Quoc lo 1A (Thanh Xuan),DMX,0,South,Ho Chi Minh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52003669,338,DMM_PTH_LTH - Tan Tien (Lam Thao),DMX,0,North,Phu Tho,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52006091,375,DMM_BGI_TYE - Cao Thuong,DMX,0,North,Bac Giang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004591,398,DMM_SLA_MSO - Hat Lot,DMX,0,North,Son La,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
70243134,1205,DMM_QNI_CPH - Mong Duong,DMX,0,North,Quang Ninh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
